Time,Pluviometer,Lat_Pluviometer,Lon_Pluviometer,MonthlyRF
2005-01-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-02-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-03-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-04-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-05-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-06-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-07-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-08-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-10-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-11-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-12-09,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-13,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-14,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-15,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-16,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-17,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-18,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-19,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-20,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-21,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-22,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-23,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-24,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
2005-09-25,BEN AROUS I MUNICIPA,36.765,-10.22111,23.600000381469727
